x,y,Housing,Cost of Living,Commute,Business Freedom,Safety,Education,Environmental Quality,Economy,Clusters
-3.812579715162289,-1.848816889702012,10,8,6,10,10,6,8,6,1
3.6432783961138937,-0.31778955663477193,6,6,2,10,6,6,8,8,1
-2.270369241745355,-3.7301978304260714,8,6,8,10,10,6,10,4,1
-5.2001054886017615,-2.90287914640095,10,8,8,10,10,6,10,6,1
-4.499380947594221,-8.123355035807108,6,2,2,10,10,2,8,6,0
-3.6093523047112175,6.888439831691445,10,10,6,6,10,2,4,6,2
-4.090027377332163,5.264266112988125,10,10,4,8,8,2,4,4,2
3.046886758194005,-0.11151199315011344,6,6,6,6,10,4,8,6,1
-0.035517576276515736,-2.566862392481379,8,6,6,8,10,6,10,6,1
-4.5984836086064105,1.8967149367897718,10,8,6,10,8,4,4,4,2
-1.8718167269519275,-5.320219813241667,6,4,8,8,10,8,6,4,1
1.251549741932868,-3.9841865537681014,6,6,6,10,8,8,8,6,1
